,Time,Tweet
0,2023-04-01 16:35:45+00:00,"For those who care about these things, the D&amp;D movie is outperforming initial box office estimates. The movie was o… https://t.co/aHb47Dzj3A"
1,2023-03-31 08:22:43+00:00,"What a freaking Friday

Davido’s album timeless out✅
Wizkid music video out ✅
Falz music out ✅
Club football is back ✅
John Wick 4 out ✅"
2,2023-03-27 01:29:31+00:00,"John wick 4 and Creed 3 were a breath of fresh air

After seeing a million leftist propaganda pushing movies over t… https://t.co/6yXmK4Mfll"
3,2023-04-01 19:36:48+00:00,"@mankvill Watched ALOT in March, 34 movies. 

Best was 

John Wick 4
The Whale
Scream VI
Creed and Creed 2
In Searc… https://t.co/cuiTrmWKBQ"
4,2023-04-01 19:36:43+00:00,"If we’re keeping it a buck, John Wick 4 wasn’t mind blowing. 

Yes, I said it."
5,2023-04-01 19:35:37+00:00,"THIS DONNIE YEN DOORBELL SEQUENCE IN ""JOHN WICK 4,"" MY GOD!!!"
6,2023-04-01 19:33:29+00:00,dont wanna hear anything bad about john wick 4.
7,2023-04-01 19:33:28+00:00,Getting ready to watch John Wick 4 for the second time :)
8,2023-04-01 19:33:28+00:00,"john wick 4 was so unserious when they threw that line from the manager calling john a son,, i am about to treat it… https://t.co/BHvwYTcykK"
9,2023-04-01 19:32:40+00:00,john wick 4 😔😔😔
10,2023-04-01 19:32:28+00:00,"watching john wick 4 with my dad and my brother in law, and they don’t know i’m only watching for miss @rinasawayama"
11,2023-04-01 19:32:11+00:00,"Just gotta say, John Wick 4 is just as good the second time"
12,2023-04-01 19:31:46+00:00,John Wick 4 was good!
13,2023-04-01 19:31:21+00:00,@omgitswawa Sedihhhh. John wick 4 was such a great movie
14,2023-04-01 19:29:35+00:00,"If you haven't made your way to the movie theater to watch John Wick 4,

You absolutely should!!"
15,2023-04-01 19:29:07+00:00,"I feel so tired and yet, I still have plans to see John Wick 4 at 9:20 because I’m a madman"
16,2023-04-01 19:29:07+00:00,John Wick 4 was pretty good
17,2023-04-01 19:29:00+00:00,@Farhana27610134 Ooo great! Well I’ve heard nothing but good comments about John Wick 4 from my favorite youtube mo… https://t.co/Ul6po4eKyk
18,2023-04-01 19:28:53+00:00,@expert_oscar The finale of John Wick 4 but it’s Elordi and Butler doing there best rendition of Trouble
19,2023-04-01 19:28:33+00:00,@jennifer_pow Love it!!! I notice John Wick 4 is just a pool of blood on the ground!! 😂
