,input,tweets,sentiment,sarcasm
0,john wick 4,"For those who care about these things, the D&amp;D movie is outperforming initial box office estimates. The movie was o… https://t.co/aHb47Dzj3A",positive,not_sarc
1,john wick 4,"What a freaking Friday

Davido’s album timeless out✅
Wizkid music video out ✅
Falz music out ✅
Club football is back ✅
John Wick 4 out ✅",negative,not_sarc
2,john wick 4,"John wick 4 and Creed 3 were a breath of fresh air

After seeing a million leftist propaganda pushing movies over t… https://t.co/6yXmK4Mfll",negative,not_sarc
3,john wick 4,"@mankvill Watched ALOT in March, 34 movies. 

Best was 

John Wick 4
The Whale
Scream VI
Creed and Creed 2
In Searc… https://t.co/cuiTrmWKBQ",positive,not_sarc
4,john wick 4,"If we’re keeping it a buck, John Wick 4 wasn’t mind blowing. 

Yes, I said it.",positive,not_sarc
5,john wick 4,"THIS DONNIE YEN DOORBELL SEQUENCE IN ""JOHN WICK 4,"" MY GOD!!!",positive,not_sarc
6,john wick 4,dont wanna hear anything bad about john wick 4.,negative,not_sarc
7,john wick 4,Getting ready to watch John Wick 4 for the second time :),negative,sarc
8,john wick 4,"john wick 4 was so unserious when they threw that line from the manager calling john a son,, i am about to treat it… https://t.co/BHvwYTcykK",negative,not_sarc
9,john wick 4,john wick 4 😔😔😔,negative,not_sarc
10,john wick 4,"watching john wick 4 with my dad and my brother in law, and they don’t know i’m only watching for miss @rinasawayama",positive,sarc
11,john wick 4,"Just gotta say, John Wick 4 is just as good the second time",negative,not_sarc
12,john wick 4,John Wick 4 was good!,positive,not_sarc
13,john wick 4,@omgitswawa Sedihhhh. John wick 4 was such a great movie,positive,sarc
14,john wick 4,"If you haven't made your way to the movie theater to watch John Wick 4,

You absolutely should!!",negative,not_sarc
15,john wick 4,"I feel so tired and yet, I still have plans to see John Wick 4 at 9:20 because I’m a madman",negative,not_sarc
16,john wick 4,John Wick 4 was pretty good,positive,sarc
17,john wick 4,@Farhana27610134 Ooo great! Well I’ve heard nothing but good comments about John Wick 4 from my favorite youtube mo… https://t.co/Ul6po4eKyk,positive,not_sarc
18,john wick 4,@expert_oscar The finale of John Wick 4 but it’s Elordi and Butler doing there best rendition of Trouble,negative,not_sarc
19,john wick 4,@jennifer_pow Love it!!! I notice John Wick 4 is just a pool of blood on the ground!! 😂,positive,not_sarc
